ID,label,calories,fat,protein,carbohydrate,sugar,potassium
1,kickstart,17.000,4.020,0.000,0.000,0.000,0.000
2,unflavored,622.000,0.000,57.700,0.000,5.200,13.820
3,mackerel,182.300,0.000,9.829,69.600,0.000,21.910
4,child,192.250,19.875,8.988,2.250,0.500,6.373
5,oheloberry,28.000,0.000,0.220,0.000,0.000,0.380
6,yellow,186.145,44.210,22.330,75.000,25.100,4.321
7,asian,100.500,5.975,3.215,0.000,3.300,5.700
8,zante,283.000,67.280,0.270,0.000,6.800,4.080
9,dietetic,165.600,70.000,6.000,0.000,18.000,0.400
10,trolley,349.000,0.000,3.700,0.000,2.800,5.000
11,supermoist,413.000,43.900,8.100,0.000,0.000,3.800
12,countrystyle,226.840,0.000,13.722,86.840,0.000,25.354
13,chiton,83.000,0.000,1.600,0.000,0.000,17.100
14,immature,96.242,4.460,0.537,0.000,4.364,5.827
15,kudo,432.667,40.293,15.250,4.000,2.533,4.710
16,deli,110.250,2.137,2.345,50.250,0.500,17.832
17,toastertype,326.250,10.217,10.075,8.250,3.375,5.075
18,sirah,85.000,0.000,0.000,0.000,0.000,0.070
19,smack,380.000,56.200,2.200,0.000,5.000,5.700
20,jack,357.300,51.100,12.311,79.000,9.300,11.639
21,blubber,870.000,0.000,96.500,150.000,0.000,0.400
22,confetti,375.000,29.300,7.400,0.000,1.300,4.400
23,mediumgrain,242.333,0.000,0.848,0.000,3.400,4.633
24,pepeao,161.500,0.000,0.240,0.000,0.000,2.650
25,baking,438.400,69.400,100.000,15.000,18.100,14.320
26,broiler,225.128,0.700,13.079,103.662,0.300,24.174
27,filetofish,262.500,3.970,11.130,28.500,1.200,11.865
28,zing,393.000,47.180,2.570,0.000,2.200,4.630
29,broiled,222.989,0.000,12.009,84.187,0.000,26.863
30,solid,598.000,47.900,42.630,142.000,1.736,29.130
31,cholesterol,585.000,3.150,62.750,0.000,0.000,0.050
32,poppy,317.000,8.430,41.560,0.000,19.500,11.865
33,uncooked,272.850,81.130,20.040,199.000,5.535,8.139
34,chew,400.000,55.676,8.032,0.000,0.200,0.724
35,scribbler,81.000,14.570,0.240,0.000,0.000,0.000
36,almond,473.922,23.542,26.793,46.000,6.876,10.577
37,bacon,283.222,10.000,99.500,62.911,10.200,13.868
38,japanese,187.909,12.530,0.495,0.000,14.500,4.513
39,frosted,385.804,28.759,7.737,19.000,4.446,5.553
40,millet,308.250,1.660,3.217,0.000,4.000,9.570
41,blue,196.778,12.940,51.100,150.000,9.200,10.080
42,fontina,389.000,1.550,31.140,116.000,0.000,25.600
43,zesta,416.000,2.000,10.033,0.000,3.000,7.400
44,cooking,782.286,1.550,84.299,0.000,3.800,10.500
45,salsify,72.667,1.933,0.180,0.000,3.167,2.920
46,roadhouse,95.000,2.860,3.270,10.000,2.400,6.120
47,zesty,233.000,6.065,5.995,0.000,8.800,6.270
48,litchi,171.500,40.665,0.820,0.000,2.950,2.315
49,crunch,395.882,30.897,8.935,86.000,6.138,8.679
50,filbert,634.333,4.240,61.433,0.000,10.033,14.560
51,hickorynut,657.000,0.000,64.370,0.000,6.400,12.720
52,herb,194.133,3.795,23.600,8.000,16.300,4.571
53,tannier,98.000,0.000,0.400,0.000,1.500,1.460
54,dora,366.000,21.200,5.700,0.000,10.200,5.600
55,active,325.000,0.000,7.610,0.000,26.900,40.440
56,path,350.000,12.250,5.460,0.000,16.600,11.910
57,mozzarella,295.800,23.670,16.465,41.533,1.073,18.288
58,smokie,315.000,1.555,28.150,65.500,0.000,13.250
59,dry,301.821,92.900,76.080,479.000,37.000,12.521
60,syrah,83.000,0.000,0.000,0.000,0.000,0.070
61,smoky,303.750,1.150,27.263,65.750,0.000,12.762
62,stevia,0.000,0.000,0.000,0.000,0.000,0.000
63,mashu,135.000,0.000,2.400,0.000,0.000,5.800
64,smoke,607.000,3.570,55.890,0.000,10.700,21.430
65,meatfilled,97.000,1.970,3.410,5.000,1.500,3.240
66,golden,308.786,24.596,37.130,83.000,4.314,6.819
67,coho,157.833,0.000,6.533,54.833,0.000,23.427
68,canola,683.636,1.790,73.145,0.000,3.600,3.270
69,straw,32.000,0.000,0.680,0.000,2.500,3.830
70,sliced,175.111,24.010,99.010,47.519,3.300,13.501
71,nasoya,79.300,0.380,3.890,0.000,0.860,8.980
72,sparkling,0.000,0.000,0.000,0.000,0.000,0.000
73,soybean,552.949,7.330,55.755,59.000,17.700,39.580
74,shoyu,55.000,0.450,0.435,0.000,0.750,8.595
75,nachoflavor,471.500,0.000,20.400,3.000,5.050,8.250
76,total,230.000,32.300,7.007,49.500,9.100,18.635
77,slowroast,37.200,0.000,0.510,8.000,0.000,1.690
78,lemberger,80.000,0.000,0.000,0.000,0.000,0.070
79,symphony,531.000,53.960,30.570,24.000,1.700,8.510
80,crunchberry,397.000,44.200,4.830,0.000,2.600,4.450
81,calo,67.000,7.210,3.340,0.000,0.000,1.970
82,chewing,314.000,33.040,0.350,0.000,2.400,0.000
83,care,71.667,7.720,3.700,1.333,0.700,1.893
84,type,18.750,1.970,0.180,0.000,1.725,1.167
85,blueberry,255.087,18.637,6.150,56.000,3.133,3.992
86,grassfed,199.444,0.000,57.730,54.833,0.000,20.004
87,separated,285.333,0.000,24.533,166.333,0.000,14.990
88,mush,54.000,0.190,0.490,0.000,1.100,0.660
89,readytofeed,67.457,6.792,3.528,4.000,0.500,1.706
90,sauvignon,82.000,0.000,0.000,0.000,0.000,0.070
91,composite,332.875,0.000,28.024,71.438,0.000,19.134
92,oscar,233.696,1.946,18.387,66.652,0.300,13.743
