Source,Target
2450,2303
1278,1929
1784,503
798,1859
70,312
326,527
2589,12
1078,1195
2422,1099
632,1986
2017,962
1034,600
442,1810
2482,466
2422,1837
2280,1488
2021,1198
1878,2623
312,2070
933,1730
2185,2056
696,1584
1555,1452
377,1063
2184,1828
2481,563
2482,1600
2344,1996
1202,909
2079,2105
2225,1036
346,1121
795,171
2593,1108
1224,517
186,2550
999,476
378,431
716,517
1688,59
1392,1487
999,2239
2080,527
2184,1468
1709,1715
362,1435
1931,2648
2088,1005
2221,2053
1288,2000
2218,1810
288,208
2379,532
1190,1805
288,748
59,2181
921,1359
2272,2053
615,1251
2585,199
1428,651
615,1040
602,2344
393,1222
1510,1296
1301,2612
47,129
2707,2132
1262,1010
2281,2032
874,2634
2329,283
197,1511
773,30
1832,2205
476,795
288,1698
6,1502
2689,993
974,1224
447,66
2293,1579
2362,172
994,436
683,1178
2614,264
571,2515
2264,1810
2487,1510
769,1681
30,588
735,1661
1620,1424
888,1472
1460,1859
259,1859
1551,466
84,1568
1190,431
939,638
1285,2449
1285,442
2053,1123
1198,394
190,2131
2239,1751
2620,1297
1820,839
1058,520
346,1555
62,2585
1635,466
2021,1953
1472,2552
2445,947
321,1723
2280,2672
2624,1584
383,795
1880,288
89,1779
2088,1594
288,670
2658,119
20,2132
288,724
1484,2495
59,710
1810,2196
2329,2662
2037,814
2468,99
2264,1945
2568,1435
2274,215
1782,1056
2376,962
1175,2384
502,1597
2629,2428
402,245
615,144
1324,2601
1777,1324
2033,29
2667,1597
1311,1027
807,2517
1040,836
2468,735
760,2054
2617,2124
959,368
1127,2008
1519,611
1142,1533
6,215
2206,651
264,1929
2280,1066
1763,1385
402,1210
2311,206
822,436
2293,1114
1810,2415
1176,1233
1034,1417
1810,408
127,2053
418,175
486,2054
1152,947
806,613
214,1224
226,962
2468,1308
611,91
1472,1329
2556,2311
1477,1424
687,1027
850,1534
571,1810
195,264
378,1464
1027,1877
1208,1768
1332,222
1502,2037
728,2630
528,690
1034,145
2557,814
310,1859
1127,1288
1251,81
1597,392
346,1056
2618,1371
2284,2707
1424,1297
2428,993
2676,1816
2669,2017
509,2146
1062,2449
1555,842
89,1974
757,1511
570,591
1000,37
1175,2132
2206,2608
2667,412
1953,1531
2053,1009
1203,1953
407,1859
379,1814
2008,2393
735,2114
1535,356
2449,2131
955,2308
2585,208
664,2520
1325,463
1285,2237
2021,914
2620,1966
2076,947
2002,1616
2037,938
479,2124
2375,2185
1127,2472
740,483
1127,2380
944,2053
249,2449
122,1810
180,1123
2028,1859
1119,122
2199,322
2070,803
2486,492
999,2132
1301,1272
1433,1511
2206,2037
