munch	set(['28034', '19295'])
currants	set([])
Jordanalmonds	set([])
salt	set(['16079', '11829', '11828', '11825', '16072', '11827', '16070', '16077', '08249', '16075', '11822', '11540', '11546', '11547', '11269', '11261', '12529', '11858', '11859', '11912', '11915', '11914', '18424', '11824', '11850', '11851', '11852', '11853', '11854', '11855', '11856', '11857', '04026', '11181', '19702', '11823', '04144', '04145', '12063', '04141', '04142', '04143', '12663', '08161', '08164', '08165', '08168', '08169', '11136', '11131', '16317', '16315', '12016', '16381', '11768', '11769', '16384', '16386', '11762', '11763', '11760', '11761', '11766', '11767', '11764', '11765', '11866', '16402', '11868', '16409', '09402', '11006', '11004', '11008', '12086', '11617', '11614', '12085', '12122', '12088', '20521', '04602', '04601', '04600', '11345', '20445', '11225', '11223', '11221', '11911', '12563', '12565', '12567', '28149', '16109', '08113', '16102', '04690', '04691', '04692', '04693', '04694', '04696', '11918', '20410', '11468', '11861', '11860', '11863', '11862', '11865', '06972', '11867', '16038', '11869', '16036', '16033', '11351', '16031', '08575', '08574', '08577', '08578', '08180', '12195', '08182', '08183', '11407', '11406', '12695', '20310', '11403', '11402', '11401', '11409', '11458', '16081', '16363', '16361', '11044', '19807', '11040', '16368', '11049', '42307', '11168', '11164', '42309', '11162', '11713', '11712', '11711', '11710', '11717', '11716', '11715', '11714', '11719', '11718', '11654', '11301', '11303', '11305', '28187', '12065', '11864', '11836', '11837', '11834', '11835', '11832', '11833', '11830', '11831', '11275', '11277', '11271', '11273', '11577', '20510', '11575', '11279', '12536', '12537', '12538', '12539', '11902', '11901', '11907', '11904', '18416', '11909', '16098', '11881', '11880', '20421', '11886', '11885', '11884', '16090', '11889', '16092', '16094', '16097', '16096', '12652', '11288', '16061', '08252', '16063', '11281', '11283', '16068', '19709', '16325', '16323', '16320', '16328', '11120', '11089', '11123', '11125', '11087', '11150', '11757', '11756', '11755', '11754', '11753', '11752', '11751', '11759', '11758', '16392', '11594', '16390', '11596', '16396', '16397', '16394', '16398', '11451', '11158', '16436', '16434', '16002', '11019', '11010', '12138', '11623', '11621', '11802', '12132', '11810', '12137', '12135', '04618', '20121', '04610', '04611', '04612', '04613', '04614', '04617', '11334', '11338', '11232', '11234', '11236', '11200', '16057', '16050', '16053', '02047', '11526', '20545', '43311', '43312', '11488', '11486', '11484', '11483', '11480', '11249', '11245', '11247', '11242', '11872', '11873', '11870', '11871', '11876', '11877', '11874', '11875', '16020', '11878', '16023', '18448', '18449', '12040', '11919', '11411', '11412', '11798', '11417', '11793', '11419', '11791', '11790', '11797', '11796', '11795', '11794', '08105', '08107', '11047', '08101', '08103', '11053', '16379', '16375', '16377', '16370', '16372', '11110', '11113', '11115', '11117', '11464', '11709', '11705', '11707', '11700', '11701', '11702', '11703', '16389', '11025', '11027', '11448', '11023', '04018', '12143', '12140', '12144', '04620', '11809', '11808', '04624', '04627', '04626', '11803', '16025', '11801', '11800', '11807', '11806', '11805', '11804', '08240', '11569', '11202', '11204', '43217', '11208', '11563', '11565', '11567', '11368', '11369', '11366', '11367', '11364', '11365', '01002', '11363', '11360', '11361', '11933', '12644', '04128', '16089', '11898', '20345', '12643', '11894', '11895', '11896', '11897', '11890', '11891', '16084', '11893', '11519', '11517', '16088', '11299', '16015', '16017', '11290', '08145', '11899', '16331', '16333', '11091', '16336', '11093', '16338', '11099', '12039', '12038', '11744', '11745', '11746', '11747', '11748', '16086', '12037', '28017', '11428', '11584', '11892', '11423', '11424', '31028', '19823', '31026', '16346', '16341', '16343', '16348', '11144', '11142', '11061', '11148', '11735', '11734', '11737', '11736', '11731', '11733', '11732', '28064', '11738', '11521', '10165', '11523', '11323', '11327', '12540', '18432', '16048', '16046', '16043', '16041', '11490', '11491', '11493', '11496', '11395', '11394', '11259', '11255', '11964', '11967', '11849', '11848', '11847', '11846', '11845', '11968', '11842', '11841', '11840', '11192', '11196', '11198', '11095', '11784', '11785', '11786', '11787', '11780', '11781', '11782', '11783', '11788', '11789', '16028', '08173', '01145', '08093', '08091', '16302', '11879', '11674', '11675', '11101', '11107', '11105', '11476', '11778', '11474', '11471', '11771', '11770', '11773', '11772', '11775', '11774', '11478', '12588', '16410', '12586', '12585', '15186', '11779', '15184', '15185', '15182', '15183', '15180', '15181', '11038', '11604', '11602', '12152', '04633', '04634', '11742', '11210', '11743', '11219', '11359', '12516', '11138', '11928', '11777', '11922', '11923', '11924', '11925', '11926', '11927', '16136', '16134', '09020', '08121', '12632', '12635', '12637', '12638', '43449', '11508', '11506', '11504', '11502', '11814', '11815', '11816', '11817', '08236', '11811', '11812', '11813', '11818', '11799', '12029', '20321', '11438', '43387', '08512', '08511', '11792', '11887', '11431', '11436', '11826', '16357', '16353', '16350', '11888', '11179', '11726', '11724', '11725', '11723', '11720', '11721', '11642', '11644', '11728', '11729', '04697', '11317', '11032', '11313', '11030', '31030', '12163', '12200'])
popsicle	set(['19873', '19856'])
plum	set(['03134', '03135', '35206', '09379', '03170', '09279', '03293', '09293', '09292', '09291', '06151', '09284', '09285', '09281', '09282', '09283'])
hunger	set([])
custard	set(['18316', '18969', '18317', '19094', '19168', '19205', '19187', '19169', '19231', '19232', '19170', '03246', '03245'])
alfalfasprouts	set([])
stove	set(['18567'])
berry	set(['19363', '18490', '19269', '08691', '14611', '09514', '08589', '08663', '28034', '18501', '35133', '08608', '08629', '08239', '08621', '08383', '25062', '14623', '08274', '08273', '08347', '14607', '28172', '03995', '28001', '35001'])
