acornsquash	
agave	19912,35193,35192,35194
alfalfasprout	
almondmilk	
almond	19084,19858,14016,08696,19248,08692,25038,04529,25010,12195,12071,14054,08703,12695,19115,08707,08668,08645,12565,19132,12567,19130,28106,08543,18247,19236,28126,19403,08560,08544,18610,19016,19327,12061,12062,12063,08627,42240,19065,08675,43046,12665,12065,08202,28158,19302,19897,12206,19439,42227,12563
amaranth	11003,11700,20002,20001,11004
anchovy	15002,15001
anise	02002
apple	03152,03153,09004,09005,03265,03154,03289,03170,03171,08124,03173,03174,08003,08642,03269,21069,18354,03115,03220,03221,03166,18302,09411,08660,09517,18301,19294,08493,09400,09012,18938,18939,03268,43529,18246,19312,18443,08627,03165,03711,09015,09014,09017,09016,09011,09010,09013,09410,19186,03297,03164,03163,09018,08568,09502,21324,03168,28163,03211,08263,09003,18362,09006,09009,09444,43544,18240,43535,43550,03184,18944,08690,08678,18431,09007,09503,42150,09501,09500,09443,09008,09504
apricot	19719,09028,09029,09024,09025,09026,09027,03175,09022,09023,14327,03142,03118,03143,09106,09105,09104,09103,09102,09033,09032,09031,09030,09036,09035,09034,09021,03128,04530,09403,09357
artichoke	22994,11007,11009,11008,11010,11702,11703
artichokeheart	
asparagu	06312,11018,11019,11015,11011,11012,11013,06401,11709,06001,11705,06201,11707,32023
aspic	
aubergine	
avocado	09039,09038,09037,04581
avocadooil	
bacon	06731,21021,04609,06738,21003,21007,07254,21378,43212,03201,10123,16542,06117,21376,43378,10857,03059,10998,21462,10994,21461,43331,06596,21377,16200,18995,06380,10131,06383,21132,21012,16104,08096,21327,21307,16598,21360,07973,21097,10130,07921,10862,10860,10861,10864
bagel	21411,21410,18968,18003,25046,18408,18406,18005,18006,18007,18001,18002,18407
bakedalaska	
bambooshoot	
banana	03156,03157,09040,09041,03174,08417,03176,03188,18304,18303,14617,03686,18019,09516,03195,03192,03190,03191,08592,19705,19706,35132,03212,19320,19319,19400,42297,19321,08687,14621,03147,03280,03163,03187,03293,11976,03129,09325,14087,03690,43550,03186,43004,43546,19121,03994,03995,43539,03712,19318,42119,19122
barbecue	06150,05320,07001,06307,22972,43112,27058,27055,27057,27056,05312,05313
barley	06042,06733,20130,03181,06442,27013,20006,20005,20004,06415,06146,20131,03681
barleyflour	
basil	02003,16554,27019,06239,06233,16585,02044
batter	05092,05058,05049,05101,05076,05002,05067,05007,05016,05035,05030,05085
beancurd	
